Cancer Reports,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,✓,,✓,✓,✓,✓,,,✓
Clinical Endocrinology,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,✓,✓,✓,✓,✓,✓,,,✓
Clinical Psychology in Europe,✓,✓,Indefinite,✓,✓,,,,✓,✓,,,,,,,,,,,✓
Clocks & Sleep,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Cochrane Reviews,✓,✓,Indefinite,,,✓,✓,✓,,✓,✓,,✓,,,✓,,,,,✓
Cognition & Emotion,✓,✓,Indefinite,✓,✓,"
","
","
",✓,✓,✓,✓,✓,,✓,✓,"
","
","
","
",
Cognitive Research: Principles and Implications,✓,✓,Indefinite,✓,✓,,,,✓,✓,✓,✓,✓,✓,✓,,,,,,
Collabra: Psychology,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,,✓
Communication Research Reports,✓,✓,Indefinite,✓,✓,✓,,,✓,✓,✓,,✓,,,,,,✓,,
Comparative Political Studies,✓,✓,Special issue only,✓,✓,✓,✓,,✓,✓,,✓,,,,,,✓,✓,,
Comprehensive Results in Social Psychology,✓,✓,Indefinite,✓,✓,✓,✓,✓,✓,✓ (discretionary),✓,✓,✓,✓,✓,✓,✓(in part),✓,✓,,
Consciousness and Cognition,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,✓,✓,,✓,,,,,
Cortex,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,"✓
Note: journal also sets α=.02",✓,,✓,,,✓
Developmental Science,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,,,,✓
Discourse Processes,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Drug and Alcohol Dependence,✓,✓,Indefinite,✓,✓,,,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,,
Ecology and Evolution,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,,✓,,✓,✓,✓,✓
eLife,✓,✓,Special Issue RP:CB only,,✓,,,,✓,✓,,✓,✓,✓,✓,,✓,,,,
Emerald Open Research,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,✓,✓,,✓,✓,✓,✓,,,
Emerging Adulthood,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,✓,,,,,,,✓,✓
"Endocrinology, Diabetes & Metabolism ",✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,✓,✓,✓,✓,✓,✓,,,✓
eNeuro,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,,✓
Environment International,✓,✓,Indefinite,,, ✓ (systematic reviews),✓,,,✓,,,✓,,,,✓,,,✓,
Equine Veterinary Journal,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,✓,✓,,,,✓,,,,
European Journal of Neuroscience,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,,✓
European Journal of Personality,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,,,,✓
 European Journal of Psychological Assessment ,✓,✓,Indefinite,✓,✓,,,,✓,✓,,,,,,✓,,,,,✓
 European Journal of Psychotraumatology,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,✓,✓,✓,✓,,✓,,,✓
Evolution and Human Behavior,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,✓,,✓,,,,✓,✓,✓,✓
Evolutionary Human Sciences,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,,✓,,✓,,,✓
Experimental Psychology,✓,✓,Indefinite,✓,✓,,,,✓,✓,✓,✓,✓,,,,✓ (in part),,,,✓
F1000Research,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,
Fertility and Sterility,✓,✓,Indefinite,✓,✓,,,,✓,✓,,,,✓,✓,,,,,,✓
Frontiers in Cognition (a),✓,✓,Special issue only,✓,,,,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,,
Frontiers in Cognition (b),✓,✓,Special issue only,,✓,,,,✓,✓,✓,✓,,,,,,,,,
Frontiers in Psychology | Consciousness Research,✓,✓,Indefinite,✓,✓,TBA,TBA,TBA,✓,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Gates Open Research,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,
Gesture,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,
Gifted Child Quarterly,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,✓,✓,✓,✓,,✓,,,✓
Health Psychology Bulletin,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,✓,,,,✓ (in full),,,,
HRB Open Research,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,✓
Human Movement Science,✓,✓,Indefinite,✓,✓,,,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,,
i-Perception,✓,✓,Indefinite,✓,✓,,,,✓,✓,✓,,,,,,,,,,✓
"Immunity, Inflammation and Disease",✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,✓,✓,✓,✓,✓,✓,,,✓
Infancy,✓,✓,Indefinite,✓,✓,,,,✓,✓,✓,,✓,,,,,,,,✓
Infant Behaviour and Development,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,,
International Journal of Medical Research,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
International Journal of Psychophysiology,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,,
International Review of Social Psychology,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,,,,✓
Japanese Journal of Political Science,✓,✓,Indefinite,✓,"✓ (using ""replication or reanalysis"" format)",✓,✓,,✓,✓,✓,✓,,,,✓,,✓,✓,✓,
JMIR Aging,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
JMIR Bioinformatics and Biotechnology ,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
JMIR Biomedical Engineering,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
JMIR Cancer,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
JMIR Cardio,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
JMIR Challenges ,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
JMIR Data ,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
JMIR Dermatology,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
JMIR Diabetes,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
JMIR Formative Research ,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
JMIR Human Factors,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
JMIR Medical Education,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
JMIR Medical Informatics,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
JMIR Mental Health,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
JMIR mHealth and uHealth,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
JMIR Nursing,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
JMIR Pediatrics and Parenting ,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
JMIR Perioperative Medicine ,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
JMIR Preprints ,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
JMIR Public Health and Surveillance,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
JMIR Rehabilitation and Assistive Technologies ,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
JMIR Serious Games ,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
Journal of Accounting Research,✓,✓,Special issue only,✓,✓,✓,✓,,✓,✓,✓,,✓,,,,,,,,
Journal of Advanced Academics,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,,✓
Journal of Business and Psychology,✓,✓,12-month initial trial,✓,,✓,✓,,✓,✓,✓,,,,,,,,✓,,
Journal of Business Ethics,✓,✓,Special issue only,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Journal of Child Language,✓,✓,Indefinite,✓,✓,,,,✓,✓,✓,,✓,✓,,✓,,,,,✓
Journal of Clinical Nursing,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,✓,✓,,,,✓,,,✓
Journal of Cognition,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,,✓
Journal of Cognitive Enhancement,✓,✓,Indefinite,✓,✓,,,,✓,✓,✓,✓,✓,✓,✓,,,,,,
Journal of Computer Assisted Learning,✓,✓,Special issue only,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,,✓
Journal of Development Economics,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,✓,✓,,,,,,,,✓
Journal of Economic Psychology,✓,✓,Special issue only,,✓,,,,✓,✓,✓,✓,,,,,,,,,✓
Journal of European Psychology Students,✓,✓,Indefinite,✓,✓,,,,✓,✓,✓,✓,,,,✓,,,,,
Journal of Experimental Political Science,✓,✓,Indefinite,✓,✓,,,,✓,✓,,✓,✓,✓,,,,,,,✓
"Journal of Experimental Psychology: Learning, Memory and Cognition",✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Journal of Experimental Social Psychology,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,,
Journal of Media Psychology,✓,✓,Indefinite,✓,✓,✓,,,✓,✓,✓,,✓,,,,,,✓,,
Journal of Medical Internet Research (JMIR),✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
Journal of Neuropsychology,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,✓,✓,✓,,,✓,,,✓
Journal of Neuroscience Research,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,✓,✓,✓,✓,✓ (in full),✓,,,✓
Journal of Numerical Cognition,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,,✓,,✓,,,✓
Journal of Occupational and Organizational Psychology,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,✓,✓,✓,,,✓,,,✓
Journal of Participatory Medicine ,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
Journal of Personality and Social Psychology,✓,✓,Indefinite,,✓,,,,,✓,,,,,,,,,,,
Journal of Personnel Psychology,✓,✓,Indefinite,✓,✓,,,,✓,✓,✓,,✓,,,,,,,,
Journal of Plant Nutrition and Soil Science ,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,✓,✓,✓,✓,,,,,✓
Journal of Psychiatric and Mental Health Nursing,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,✓,,,✓,,,✓,
Journal of Research in Personality,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,,
Journal of Research in Reading,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,,,,✓
Journal of the American Academy of Child and Adolescent Psychiatry ,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,✓,✓,,✓,✓,,,,
Judgement and Decision Making,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓ (at editorial discretion),✓,✓,,,,,,,✓,,✓
Language and Speech,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,,✓
Language Learning,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,,✓,,✓,,✓,✓
Legal and Criminological Psychology,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,✓,✓,✓,,,✓,,,✓
Management and Organization Review,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,,,,✓,✓
Media and Communication,✓,✓,Special issue only,✓,✓,✓,,,✓,✓,✓,,✓,,,,,,✓,,
Medicine 2.0,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,,,,,,✓ (fully published in JMIR Protocols),✓,✓,,
Memory,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,,✓
Meta-psychology,✓,✓,Indefinite,✓,✓,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,
"Mind, Brain and Education",✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,✓,✓,✓,✓,,✓,,,✓
MNI Open Research,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,
Nature Human Behaviour,✓,✓,Indefinite,✓,✓,,,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,,✓
Neurobiology of Language,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
NeuroImage,✓,✓,Special Issue only (2 year pilot),✓,✓,✓,✓,,✓,✓,✓,,✓,✓,,✓,,✓,,,✓
Neuroscience of Consciousness,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,,✓
Nicotine & Tobacco Research,✓,✓,Indefinite,,✓ Solicited topics only,,,,,,,,,,,,,,,,
NFS Journal,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,,✓
PCI Ecology,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
PeerJ,✓,✓,Special issue only,,✓,,,,,✓,,,,,,,✓,,,,
Perception,✓,✓,Indefinite,✓,✓,,,,✓,✓,✓,,,,,,,,,,✓
Personal Relationships,✓,✓,Special issue,✓,✓,TBA,TBA,TBA,TBA,✓,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Political Analysis,✓,✓,Special issue: 2016 ANES Preacceptance Initiative,✓,,,✓,,✓,✓,,,,,,,,,,,
Political Behavior,✓,✓,Special issue: 2016 ANES Preacceptance Initiative,✓,,,✓,,✓,✓,,,,,,,,,,,
Political Science Quarterly,✓,✓,Special issue: 2016 ANES Preacceptance Initiative,✓,,,✓,,✓,✓,,,,,,,,,,,
Political Science Research and Methods,✓,✓,Special issue: 2016 ANES Preacceptance Initiative,✓,,,✓,,✓,✓,,,,,,,,,,,
Psicológica ,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,,✓
Psychology and Marketing,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,✓,✓,,,,✓,,,✓
Psychology of Sport and Exercise,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,,
Psychonomic Bulletin and Review,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Psychological Science,✓,✓,Indefinite,,✓,,,,✓,✓,✓,,,,,,,,,,✓
Psychology & Health,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,✓,✓,,✓,✓,,✓,,,✓
"Psychology and Psychotherapy: Theory, Research and Practice",✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,✓,✓,✓,,,✓,,,✓
Psycho-Oncology,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,✓,✓,✓,✓,,✓,,,✓
Public Opinion Quarterly,✓,✓,Special issue: 2016 ANES Preacceptance Initiative,✓,,,✓,,✓,✓,,,,,,,,,,,
Quarterly Journal of Experimental Psychology,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,,,✓
Registered Reports in Psychology,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Research & Politics,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Royal Society Open Science,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,,✓,,✓,,,✓
Scientific Studies of Reading,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Social Psychology,TBA,TBA,Indefinite,✓,✓,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Social Psychological Bulletin,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
State Politics and Policy Quarterly,✓,✓,Special issue: 2016 ANES Preacceptance Initiative,✓,,,✓,,✓,✓,,,,,,,,,,,
Stress & Health,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,,,✓,✓,,,,,,,✓
Studia Psychologica,✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,,,,,,,,,✓
The International Journal for the Psychology of Religion,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
The Leadership Quarterly,✓,✓,Indefinite,✓,✓,,,,,✓,✓,,✓,,,,,,,,
The Review of Financial Studies,✓,✓,Special issue,✓,✓,,✓,,,✓,,,✓,,,,,,,,
Wellcome Open Research,✓,✓,Indefinite,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,
"Work, Aging and Retirement",✓,✓,Indefinite,✓,✓,,✓,,✓,✓,✓,,,,,,,,,,
Zeitschrift für Psychologie,✓,✓,Special issue,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
,JOURNALS OFFERING FORMATS THAT DO NOT QUALIFY AS REGISTERED REPORTS BUT WHICH PROVIDE SOME FEATURES,,,,,,,,,,,,,,,,,,,,
Communication Methods and Measures,,,Special Issue only,,✓,,,,,✓,,,,,,,,,,,
Journal of Experimental Psychology: General,✓,,Indefinite,,✓,,,,,✓,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
